Chainage,J1_Dip_deg,J1_DipDir_deg,J1_Strike_deg,J1_Spacing_cm,J1_Persistence_m,J1_Roughness_ord,J1_Roughness_label,J1_Aperture_mm,J1_Infill_label,J1_Infill_present,J1_Weathering_ord,J1_Weathering_label,J2_Dip_deg,J2_DipDir_deg,J2_Strike_deg,J2_Spacing_cm,J2_Persistence_m,J2_Roughness_ord,J2_Roughness_label,J2_Aperture_mm,J2_Infill_label,J2_Infill_present,J2_Weathering_ord,J2_Weathering_label,J3_Dip_deg,J3_DipDir_deg,J3_Strike_deg,J3_Spacing_cm,J3_Persistence_m,J3_Roughness_ord,J3_Roughness_label,J3_Aperture_mm,J3_Infill_label,J3_Infill_present,J3_Weathering_ord,J3_Weathering_label,J1_Dip_deg_roll5_std,J1_Dip_deg_delta,J1_DipDir_deg_roll5_std,J1_DipDir_deg_delta,J1_Spacing_cm_roll5_std,J1_Spacing_cm_delta,J1_Persistence_m_roll5_std,J1_Persistence_m_delta,J1_Roughness_ord_roll5_std,J1_Roughness_ord_delta,J1_Weathering_ord_roll5_std,J1_Weathering_ord_delta,J2_Dip_deg_roll5_std,J2_Dip_deg_delta,J2_DipDir_deg_roll5_std,J2_DipDir_deg_delta,J2_Spacing_cm_roll5_std,J2_Spacing_cm_delta,J2_Persistence_m_roll5_std,J2_Persistence_m_delta,J2_Roughness_ord_roll5_std,J2_Roughness_ord_delta,J2_Weathering_ord_roll5_std,J2_Weathering_ord_delta,J3_Dip_deg_roll5_std,J3_Dip_deg_delta,J3_DipDir_deg_roll5_std,J3_DipDir_deg_delta,J3_Spacing_cm_roll5_std,J3_Spacing_cm_delta,J3_Persistence_m_roll5_std,J3_Persistence_m_delta,J3_Roughness_ord_roll5_std,J3_Roughness_ord_delta,J3_Weathering_ord_roll5_std,J3_Weathering_ord_delta,Avg_Weathering,Avg_Spacing,Avg_Roughness,Spacing_Trend5,Weathering_Trend5,In_Fault_Zone,Precursor_Zone,Fault_Ahead_Label,Predicted_Fault_Probability,Predicted_Fault_Ahead,CV_Probability_RandomForest,CV_Probability_ExtraTrees,CV_Probability_GradientBoosting,CV_Probability_LogisticRegression,CV_Probability_SVM_RBF,CV_Probability_KNN,CV_Probability_XGBoost
215.5,65.0,75.0,355.0,60.0,100.0,3.0,Rough to slightly rough,0.1,Silty clay and clay,1,1.5,Fresh to slightly weathered,70.0,200.0,355.0,60.0,100.0,3.0,Rough to slightly rough,0.1,Silty clay and clay,1,1.5,Fresh to slightly weathered,70.0,200.0,355.0,200.0,100.0,3.0,Rough to slightly rough,0,None,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,106.66666666666667,3.0,,,0,0,0,0.3807755729795112,0,0.3345237205626592,0.4065516789619497,0.7717616247853877,0.7256601759826861,0.31997757381183434,0.14285714285714285,0.09696688
441.3,60.0,250.0,355.0,80.0,100.0,2.5,Rough to smooth,0.1,silty clay materials,1,1.5,Fresh to Slightly weathered,75.0,200.0,355.0,80.0,100.0,2.5,Rough to smooth,0.1,silty clay materials,1,1.5,Fresh to Slightly weathered,40.0,45.0,355.0,60.0,100.0,2.5,Rough to smooth,0,None,0,0,0,3.5355339059327378,-5.0,123.74368670764582,175.0,14.142135623730951,20.0,0.0,0.0,0.3535533905932738,-0.5,0.0,0.0,3.5355339059327378,5.0,0.0,0.0,14.142135623730951,20.0,0.0,0.0,0.3535533905932738,-0.5,0.0,0.0,21.213203435596427,-30.0,109.60155108391487,-155.0,98.99494936611666,-140.0,0.0,0.0,0.3535533905932738,-0.5,0.0,0.0,1.0,73.33333333333333,2.5,,,0,0,0,0.24213021710698343,0,0.1599090078867568,0.24387808973819938,0.0034890552853518567,0.30732083355060696,0.07072471086175337,0.0,0.029554166
473.8,60.0,250.0,355.0,200.0,80.0,2.5,smooth to rough,0.1,Hard (crushed rock) & soft (clay & silty clay) fillings,1,2.0,Slightly weathered to fresh,65.0,200.0,355.0,210.0,80.0,2.5,smooth to rough,0.1,Hard (crushed rock) & soft (clay & silty clay) fillings,1,2.0,Slightly weathered to fresh,30.0,80.0,355.0,95.0,150.0,2.5,Smooth to rough,0,None,0,0,0,2.886751345948128,0.0,101.03629710818451,0.0,75.71877794400365,120.0,11.547005383792513,-20.0,0.28867513459481287,0.0,0.28867513459481287,0.5,5.0,-10.0,0.0,0.0,81.44527815247078,130.0,11.547005383792513,-20.0,0.28867513459481287,0.0,0.28867513459481287,0.5,20.816659994661325,-10.0,81.29165598838132,35.0,72.85830998131465,35.0,28.867513459481287,50.0,0.28867513459481287,0.0,0.0,0.0,1.3333333333333333,168.33333333333334,2.5,30.833333333333336,0.16666666666666663,0,0,0,0.3066401265838848,0,0.15192009022387096,0.3225259156937202,0.0014467816754908558,0.24335672680838305,0.02648849240457739,0.0,0.003944369
529.0,50.5,250.0,355.0,200.0,60.0,4.0,Rough,0.1,None,0,1.0,Fresh,60.5,355.0,355.0,200.0,60.0,3.0,Rough to Slightly rough,0.1,None,0,1.5,Fresh to Slightly Weathered,55.5,60.0,355.0,130.0,200.0,3.0,Rough to Slightly rough,0,None,0,0,0,6.060459278525569,-9.5,87.5,0.0,75.49834435270749,0.0,19.14854215512676,-20.0,0.7071067811865476,1.5,0.408248290463863,-1.0,6.263319141371184,-4.5,77.5,155.0,78.47504911329035,-10.0,19.14854215512676,-20.0,0.28867513459481287,0.5,0.24999999999999997,-0.5,17.561202502486363,25.5,70.63698275926947,-20.0,59.773879468097654,35.0,47.871355387816905,50.0,0.28867513459481287,0.5,0.0,0.0,0.8333333333333334,176.66666666666666,3.3333333333333335,23.33333333333333,-0.055555555555555546,0,0,0,0.3039029628133645,0,0.1755812235180463,0.3100829265811549,0.03935455342592184,0.06833849897860234,0.04017536206627878,0.14285714285714285,0.007682259
714.0,55.0,250.0,355.0,200.0,180.0,4.0,Not Recorded,0.1,None,0,1.0,Not Recorded,65.0,350.0,355.0,130.0,380.0,3.0,Not Recorded,0.1,None,0,1.5,Not Recorded,70.0,75.0,355.0,165.0,250.0,3.5,Not Recorded,0,None,0,0,0,5.527205442174191,4.5,78.26237921249263,0.0,71.55417527999327,0.0,45.60701700396552,120.0,0.758287544405155,0.0,0.4183300132670378,0.0,5.5497747702046425,4.5,83.54639429682169,-5.0,68.044103344816,-70.0,132.9661611087573,320.0,0.2738612787525831,0.0,0.22360679774997896,0.0,17.903910187442296,14.5,61.90718859712497,15.0,55.339859052946636,35.0,65.19202405202648,50.0,0.4183300132670378,0.5,0.0,0.0,0.8333333333333334,165.0,3.5,14.583333333333332,-0.04166666666666666,1,0,1,0.48419179040900456,0,0.13778939246581431,0.30989128035797536,0.011394836017531149,0.10245391554869754,0.05480518154555756,0.14285714285714285,0.006056397
718.0,65.0,290.0,355.0,200.0,300.0,4.0,Rough,0.1,None,0,1.0,Fresh,70.0,355.0,355.0,60.0,700.0,3.0,Rough to Slightly Rough,0.1,Silty Clay,1,1.5,Fresh to Slightly Weathered,65.0,50.0,355.0,200.0,300.0,4.0,Rough,0,None,0,0,0,5.527205442174191,10.0,17.88854381999832,40.0,53.665631459994955,0.0,98.38699100999075,120.0,0.8215838362577492,0.0,0.4472135954999579,0.0,5.5497747702046425,5.0,84.00892809695884,5.0,68.044103344816,-70.0,276.5501762790977,320.0,0.2738612787525831,0.0,0.22360679774997896,0.0,16.831518053936787,-5.0,15.247950681976906,-25.0,55.339859052946636,35.0,79.05694150420949,50.0,0.6519202405202649,0.5,0.0,0.0,0.8333333333333334,153.33333333333334,3.6666666666666665,9.333333333333334,-0.033333333333333326,1,0,1,0.5541985095614465,1,0.3553344721200308,0.4637568412351834,0.7279167366939998,0.6984195663382843,0.5,0.2857142857142857,0.11801999
724.5,65.0,270.0,353.3333333333333,150.0,200.0,4.0,Rough,0.1,None,0,1.0,Fresh,60.0,330.0,353.3333333333333,60.0,400.0,3.0,Rough to Slightly rough,0.1,None,0,1.5,Fresh to Slightly Weathered,60.0,65.0,292.5,150.0,200.0,3.0,Rough to Slightly rough,0,None,0,0,0,6.348228099241551,0.0,17.88854381999832,-20.0,22.360679774997898,-50.0,97.36529155710468,-100.0,0.6708203932499369,0.0,0.4472135954999579,0.0,4.068169121361596,-10.0,66.76451153120196,-25.0,72.59476565152615,0.0,264.3482551483932,-300.0,0.22360679774997905,0.0,0.22360679774997896,0.0,15.565988564816564,-5.0,11.937336386313323,15.0,39.147158262126766,-50.0,57.0087712549569,-100.0,0.570087712549569,-1.0,0.0,0.0,0.8333333333333334,120.0,3.3333333333333335,9.333333333333334,-0.033333333333333326,1,0,1,0.56742536227238,1,0.29902858155249995,0.421710732741793,0.30460337241333657,0.06281009050006471,0.055706724469800475,0.2857142857142857,0.13088052
725.0,55.0,250.0,351.6666666666667,100.0,100.0,4.0,Rough,0.1,None,0,1.0,Fresh,65.0,350.0,351.6666666666667,60.0,100.0,4.0,Rough,0.3,Silty Clay,1,1.5,Fresh to Slightly Weathered,60.0,60.0,230.0,100.0,100.0,4.0,Rough,0,None,0,0,0,6.5612498809297,-10.0,17.88854381999832,-20.0,44.721359549995796,-50.0,93.38094023943002,-100.0,0.0,0.0,0.0,0.0,4.068169121361596,5.0,10.36822067666386,20.0,62.609903369994115,0.0,259.8461083025874,-300.0,0.4472135954999579,1.0,0.0,0.0,5.549774770204643,0.0,9.082951062292475,-5.0,37.48332962798263,-50.0,74.16198487095663,-100.0,0.49999999999999994,1.0,0.0,0.0,0.8333333333333334,86.66666666666667,4.0,-16.333333333333336,-0.09999999999999998,1,0,1,0.5765864008772804,1,0.4879008105808189,0.49312378990065187,0.5349170244084347,0.9217766486405379,0.4505160839912317,0.42857142857142855,0.7413729
775.5,65.0,300.0,350.0,200.0,50.4,4.0,rough,0.1,up to 1mm thick silty clay,1,1.0,Fresh,60.0,70.0,350.0,200.0,50.4,4.0,rough,0.1,up to 1mm thick silty clay,1,1.0,Fresh,60.0,90.0,167.5,180.0,50.4,4.0,rough,0,None,0,0,0,5.47722557505166,10.0,22.80350850198276,50.0,44.721359549995796,100.0,96.21243162918189,-49.6,0.0,0.0,0.0,0.0,4.183300132670376,-5.0,123.91529364852427,-280.0,62.609903369994115,140.0,262.34487225787353,-49.6,0.5477225575051662,0.0,0.22360679774997896,-0.5,4.47213595499958,0.0,15.247950681976906,30.0,37.815340802378074,80.0,103.55690223254074,-49.6,0.44721359549995787,0.0,0.0,0.0,0.6666666666666666,193.33333333333334,4.0,3.333333333333337,-0.03333333333333335,1,0,1,0.5143288955544597,1,0.1900699843617344,0.35363816917056196,0.01012729749022079,0.4522248864475495,0.14646110985474256,0.0,0.018652549
879.5,75.0,270.0,105.0,260.0,0.8,2.5,Moderate,0.0,None,0,1.0,Not Recorded,85.0,270.0,105.0,260.0,0.8,2.5,Moderate,0.0,None,0,1.125,Not Recorded,75.0,270.0,105.0,260.0,0.8,2.5,Moderate,0,None,0,0,0,7.071067811865475,10.0,19.493588689617926,-30.0,60.166435825965294,60.0,120.13379208199498,-49.6,0.6708203932499369,-1.5,0.0,0.0,10.36822067666386,25.0,119.4780314534852,200.0,95.49869109050658,60.0,295.5674677632841,-49.6,0.6708203932499369,-1.5,0.24366985862022408,0.125,6.519202405202649,15.0,92.30384607371461,180.0,59.329587896765304,80.0,120.13379208199495,-49.6,0.7071067811865475,-1.5,0.0,0.0,0.7083333333333334,260.0,2.5,19.0,-0.025,0,0,0,0.2575195431898788,0,0.12349793855185406,0.2893662029653147,0.004100760862490809,0.004199841701827882,0.005654474856442576,0.0,0.002376943
